LeadRO Name,Count,%,Cum%,,,,,
Imperial College London,820,9.12%,,,,,,
UNIVERSITY COLLEGE LONDON,590,6.56%,15.69%,,,,,
UNIVERSITY OF OXFORD,464,5.16%,20.85%,,,,,
University of Edinburgh,463,5.15%,26.00%,,,,,
UNIVERSITY OF CAMBRIDGE,438,4.87%,30.87%,,,,,
University of Bristol,393,4.37%,35.25%,,,,,
The University of Manchester,333,3.70%,38.95%,,,,,
University of Glasgow,267,2.97%,41.92%,,,,,
University of Sheffield,218,2.43%,44.35%,,,,,
University of Warwick,218,2.43%,46.77%,,,,,
King's College London,180,2.00%,48.78%,,,,,
University of Southampton,173,1.92%,50.70%,,,,,
University of Leeds,172,1.91%,52.61%,,,0.260355029585799,,
University of Birmingham,167,1.86%,54.47%,,,,,
Lancaster University,161,1.79%,56.26%,,,,,
University of York,158,1.76%,58.02%,,,,,
University of Nottingham,154,1.71%,59.74%,,,,,
University of Dundee,138,1.54%,61.27%,,,,,
Earlham Institute,135,1.50%,62.77%,,,,,
Newcastle University,134,1.49%,64.26%,,,,,
NOC (Up to 31.10.2019),131,1.46%,65.72%,,,,,
University of Liverpool,130,1.45%,67.17%,,,,,
University of Leicester,128,1.42%,68.59%,,,,,
University of Surrey,117,1.30%,69.89%,,,,,
Queen Mary University of London,112,1.25%,71.14%,,,,,
University of Aberdeen,112,1.25%,72.39%,,,,,
University of St Andrews,105,1.17%,73.55%,,,,,
Durham University,97,1.08%,74.63%,,,,,
UNIVERSITY OF EXETER,96,1.07%,75.70%,,,,,
CARDIFF UNIVERSITY,93,1.03%,76.74%,,,,,
STFC - LABORATORIES,90,1.00%,77.74%,,,,,
EMBL - European Bioinformatics Institute,90,1.00%,78.74%,,,,,
Plymouth Marine Laboratory,85,0.95%,79.68%,,,,,
Rothamsted Research,85,0.95%,80.63%,,,,,
John Innes Centre,72,0.80%,81.43%,,,,,
University of Bath,68,0.76%,82.19%,,,,,
Swansea University,63,0.70%,82.89%,,,,,
University of Strathclyde,62,0.69%,83.58%,,,,,
University of Sussex,61,0.68%,84.26%,,,,,
Heriot-Watt University,61,0.68%,84.94%,,,,,
UNIVERSITY OF READING,60,0.67%,85.60%,,,,,
NATIONAL OCEANOGRAPHY CENTRE,54,0.60%,86.20%,,,,,
Loughborough University,54,0.60%,86.80%,,,,,
Queen's University of Belfast,54,0.60%,87.41%,,,,,
University of East Anglia,47,0.52%,87.93%,,,,,
University of Kent,45,0.50%,88.43%,,,,,
The Alan Turing Institute,44,0.49%,88.92%,,,,,
London Sch of Hygiene & Tropic. Medicine,44,0.49%,89.41%,,,,,
National Centre for Earth Observation,41,0.46%,89.86%,,,,,
QUADRAM INSTITUTE BIOSCIENCE,40,0.45%,90.31%,,,,,
Aberystwyth University,37,0.41%,90.72%,,,,,
"Royal Holloway, Univ of London",36,0.40%,91.12%,,,,,
Goldsmiths College,29,0.32%,91.44%,,,,,
NERC CEH (Up to 30.11.2019),28,0.31%,91.76%,,,,,
University of Essex,28,0.31%,92.07%,,,,,
De Montfort University,27,0.30%,92.37%,,,,,
Brunel University London,27,0.30%,92.67%,,,,,
British Geological Survey,26,0.29%,92.96%,,,,,
London School of Economics & Pol Sci,25,0.28%,93.24%,,,,,
University of Salford,23,0.26%,93.49%,,,,,
The Faraday Institution,22,0.24%,93.74%,,,,,
"City, University of London",21,0.23%,93.97%,,,,,
University of Brighton,20,0.22%,94.19%,,,,,
NERC BRITISH ANTARCTIC SURVEY,19,0.21%,94.40%,,,,,
CRANFIELD UNIVERSITY,19,0.21%,94.62%,,,,,
The Open University,18,0.20%,94.82%,,,,,
Institute for Fiscal Studies,18,0.20%,95.02%,,,,,
Coventry University,17,0.19%,95.20%,,,,,
University of Huddersfield,17,0.19%,95.39%,,,,,
University of Portsmouth,16,0.18%,95.57%,,,,,
University of Plymouth,16,0.18%,95.75%,,,,,
Birkbeck College,16,0.18%,95.93%,,,,,
Nottingham Trent University,15,0.17%,96.09%,,,,,
University of Hull,14,0.16%,96.25%,,,,,
SOAS University of London,13,0.14%,96.40%,,,,,
