category,dfcount
missing,2327
public_commercial_code_repo,1852
institutional,1264
public_noncommercial_archive_repo,1161
software_specific_website,709
publisher,328
public_noncommercial_package_repo,235
unknown,164
Non-responsive,157
project or consortium,120
documentation_site,111
discipline_software_repo,92
preprint_site,87
international_institutional,87
commercial website,66
web app,33
personal website,28
commercial appstore,23
conference site,19
institutional_group,19
video,14
software_paper,14
discipline-specific (non-software repo),13
public openscience repo,13
"forum, mailinglist, blog",11
Cloud filestore,7
International public govt,6
UK Govt Public site,5
Data platform,4
patent,3
non-commercial appstore,3
social media,3
inappropriate,3
UK Govt Software Link,2
search site,2
news_blog,1
Non-software website,1
google_doc,1
