category,dfcount
missing,2327
public_commercial_code_repo,1852
institutional,1266
public_noncommercial_archive_repo,1161
software_specific_website,722
publisher,374
public_noncommercial_package_repo,241
Non-responsive,157
project or consortium,126
documentation_site,111
discipline_software_repo,93
preprint_site,90
international_institutional,87
commercial website,76
unknown,63
web app,33
personal website,30
commercial appstore,24
institutional_group,22
conference site,21
software_paper,18
video,14
discipline-specific (non-software repo),13
public openscience repo,13
"forum, mailinglist, blog",11
Cloud filestore,7
International public govt,6
UK Govt Public site,5
Data platform,5
patent,3
non-commercial appstore,3
social media,3
inappropriate,3
UK Govt Software Link,2
search site,2
Non-software website,2
news_blog,1
google_doc,1
