response,0
public_commercial_code_repo,1387
institutional,740
software_specific_website,465
public_noncommercial_archive_repo,461
public_noncommercial_package_repo,179
publisher,131
project or consortium,103
documentation_site,83
discipline_software_repo,65
preprint_site,64
international_institutional,37
Non-responsive,37
commercial website,36
personal website,26
web app,26
institutional_group,18
conference site,16
public openscience repo,13
video,10
"forum, mailinglist, blog",9
software_paper,9
UK Govt Public site,7
discipline-specific (non-software repo),5
Data platform,4
International public govt,3
social media,3
non-commercial appstore,2
search site,2
commercial appstore,2
UK Govt Software Link,1
Non-software website,1
news_blog,1
