"LeadRO Name","GTR count","IR Count","Diff",
"University of Oxford",367,0,367,0.00%
"University of Warwick",154,0,154,0.00%
"University of Nottingham",135,0,135,0.00%
"Lancaster University",130,0,130,0.00%
"Newcastle University",107,0,107,0.00%
"Queen Mary, University of London",99,0,99,0.00%
"University of Surrey",95,0,95,0.00%
"Stfc - Laboratories",87,0,87,0.00%
"Cardiff University",78,0,78,0.00%
"Durham University",70,0,70,0.00%
"University of Strathclyde",52,0,52,0.00%
"University of Sussex",52,0,52,0.00%
"London Sch of Hygiene and Trop Medicine",45,0,45,0.00%
"University of East Anglia",42,0,42,0.00%
"Swansea University",39,0,39,0.00%
"NERC British Geological Survey",29,0,29,0.00%
"De Montfort University",27,0,27,0.00%
"Brunel University",25,0,25,0.00%
"University of Essex",25,0,25,0.00%
"Birkbeck College",21,0,21,0.00%
"London School of Economics & Pol Sci",20,0,20,0.00%
"University of Salford",20,0,20,0.00%
"NERC Centre for Ecology and Hydrology",18,0,18,0.00%
"Cranfield University",16,0,16,0.00%
"NERC British Antarctic Survey",16,0,16,0.00%
"Open University",16,0,16,0.00%
"University of Plymouth",14,0,14,0.00%
"Liverpool John Moores University",10,0,10,0.00%
"Oxford Brookes University",9,0,9,0.00%
"University of Hull",8,0,8,0.00%
"University of the West of England",8,0,8,0.00%
"Edinburgh Napier University",8,0,8,0.00%
"University of Hertfordshire",7,0,7,0.00%
"Aston University",6,0,6,0.00%
"Birmingham City University",6,0,6,0.00%
"Coventry University",6,0,6,0.00%
"Manchester Metropolitan University",5,0,5,0.00%
"Royal Veterinary College",5,0,5,0.00%
"University of Bradford",5,0,5,0.00%
"Liverpool School of Tropical Medicine",4,0,4,0.00%
"Northumbria University",4,0,4,0.00%
"University of Lincoln",3,0,3,0.00%
"Keele University",2,0,2,0.00%
"London South Bank University",2,0,2,0.00%
"Middlesex University",2,0,2,0.00%
"Institute of Development Studies",2,0,2,0.00%
"Institute of Education",2,0,2,0.00%
"Bath Spa University",1,0,1,0.00%
"Falmouth University",1,0,1,0.00%
"Glyndwr University",1,0,1,0.00%
"NERC National Ctr for Atmospheric Sci",1,0,1,0.00%
"Sheffield Hallam University",1,0,1,0.00%
"University of Chester",1,0,1,0.00%
"University of Stirling",1,0,1,0.00%
"University of the Arts London",1,0,1,0.00%
"University of Central Lancashire",1,0,1,0.00%
"University of Sheffield",177,2,175,1.13%
"University College London",501,7,494,1.40%
"University of Southampton",142,13,129,9.15%
"University of Aberdeen",107,10,97,9.35%
"University of Manchester",247,25,222,10.12%
"University of Reading",48,5,43,10.42%
"University of Cambridge",364,45,319,12.36%
"University of Liverpool",107,16,91,14.95%
"King's College London",164,26,138,15.85%
"Royal Holloway, University of London",35,6,29,17.14%
"University of Edinburgh",380,66,314,17.37%
"University of Dundee",125,22,103,17.60%
"University of Bristol",342,84,258,24.56%
"University of Leicester",109,28,81,25.69%
"Heriot-Watt University",41,11,30,26.83%
"Bournemouth University",7,2,5,28.57%
"University of Exeter",69,23,46,33.33%
"Imperial College London",703,286,417,40.68%
"University of Bath",59,25,34,42.37%
"University of York",123,53,70,43.09%
"City, University of London",20,9,11,45.00%
"University of Birmingham",139,65,74,46.76%
"University of Glasgow",219,117,102,53.42%
"Loughborough University",51,30,21,58.82%
"Aberystwyth University",15,10,5,66.67%
"Nottingham Trent University",15,10,5,66.67%
"Queen's University of Belfast",49,39,10,79.59%
"University of Kent",28,24,4,85.71%
"University of Huddersfield",14,13,1,92.86%
"SRUC",2,2,0,100.00%
"Goldsmiths College",26,28,-2,107.69%
"University of Brighton",12,13,-1,108.33%
"University of Teesside",2,4,-2,200.00%
"University of Portsmouth",11,29,-18,263.64%
"Bangor University",3,8,-5,266.67%
"Rothamsted Research",28,76,-48,271.43%
"Cardiff Metropolitan University",1,4,-3,400.00%
"University of St Andrews",48,207,-159,431.25%
"University of Ulster",2,10,-8,500.00%
"University of Abertay Dundee",1,5,-4,500.00%
"University of Westminster",1,31,-30,3100.00%
