LeadRO Name,0
Imperial College London,703
University College London,501
University of Edinburgh,380
University of Oxford,367
University of Cambridge,364
University of Bristol,342
University of Manchester,247
University of Glasgow,219
University of Sheffield,177
King's College London,164
University of Warwick,154
University of Southampton,142
University of Birmingham,139
University of Nottingham,135
University of Leeds,131
Lancaster University,130
University of Dundee,125
University of York,123
University of Leicester,109
Newcastle University,107
University of Liverpool,107
University of Aberdeen,107
"Queen Mary, University of London",99
University of Surrey,95
National Oceanography Centre,89
Stfc - Laboratories,87
Cardiff University,78
Plymouth Marine Laboratory,72
Durham University,70
University of Exeter,69
EMBL - European Bioinformatics Institute,67
University of Bath,59
University of Sussex,52
University of Strathclyde,52
Loughborough University,51
Queen's University of Belfast,49
University of Reading,48
University of St Andrews,48
Earlham Institute,47
London Sch of Hygiene and Trop Medicine,45
MRC Laboratory of Molecular Biology,43
University of East Anglia,42
National Oceanography Centre (WEF011019),42
Heriot-Watt University,41
Swansea University,39
National Centre for Earth Observation,35
"Royal Holloway, University of London",35
NERC British Geological Survey,29
University of Kent,28
Rothamsted Research,28
De Montfort University,27
John Innes Centre,27
Goldsmiths College,26
MRC Biostatistics Unit,26
University of Essex,25
Brunel University,25
MRC London Institute of Medical Sciences,22
Birkbeck College,21
"City, University of London",20
London School of Economics & Pol Sci,20
The Alan Turing Institute,20
University of Salford,20
NERC Centre for Ecology and Hydrology,18
Institute for Fiscal Studies,18
Cranfield University,16
NERC British Antarctic Survey,16
Open University,16
Nottingham Trent University,15
Aberystwyth University,15
University of Plymouth,14
University of Huddersfield,14
University of Brighton,12
The Faraday Institution,12
National Inst of Agricultural Botany,11
University of Portsmouth,11
Diamond Light Source,10
Liverpool John Moores University,10
Oxford Brookes University,9
University of Hull,8
University of the West of England,8
Edinburgh Napier University,8
Quadram Institute Bioscience,7
University of Greenwich,7
The Wellcome Trust  Sanger Institute,7
University of Hertfordshire,7
Bournemouth University,7
Science Museum Group,7
Birmingham City University,6
Aston University,6
Coventry University,6
Manchester Metropolitan University,5
University of Bradford,5
The Natural History Museum,5
Royal Veterinary College,5
School of Oriental & African Studies,4
The National Archives,4
Northumbria University,4
MRC National Inst for Medical Research,4
H R Wallingford Ltd,4
MRC Cognition and Brain Sciences Unit,4
Medical Research Council,4
Liverpool School of Tropical Medicine,4
Institute of Cancer Research,4
UK Ctr for Ecology & Hydrology fr 011219,3
MRC Human Genome Mapping Project,3
University of Lincoln,3
Food & Environment Research Agency -FERA,3
Bangor University,3
Health Data Research UK (HDR UK),2
University of Passau,2
Institute of Development Studies,2
Institute of Education,2
East Malling Research,2
University of Teesside,2
University of Ulster,2
London South Bank University,2
MRC Clinical Trials Unit,2
SRUC,2
Keele University,2
The Wellcome Trust Ltd,2
Middlesex University,2
MRC Human Genetics Unit,1
Duke Kunshan University,1
Glyndwr University,1
Armagh Observatory and Planetarium,1
Falmouth University,1
FIOCRUZ,1
University of South Wales,1
Techniquest,1
EURATOM/CCFE,1
University of Stirling,1
Cardiff Metropolitan University,1
National Institute of Economic & Soc Res,1
Bath Spa University,1
Research Complex at Harwell,1
Royal Botanic Gardens Kew,1
Basque Centre for Climate Change bc3,1
University of Westminster,1
Sheffield Hallam University,1
University of the Arts London,1
Babraham Institute,1
Guildhall School of Music and Drama,1
Harvard University,1
The Francis Crick Institute,1
Royal Conservatoire of Scotland,1
Marine Biological Association,1
University of Central Lancashire,1
University of Chester,1
University of Abertay Dundee,1
MRC Centre Cambridge,1
MRC Cell Biology Unit,1
McMaster University,1
University of Glamorgan,1
Jaguar Cars Ltd,1
MRC Epidemiology Unit,1
The Pirbright Institute,1
Museum of London Archaeology,1
Institute for Financial Management & Res,1
ICDDRB,1
Human Sciences Research Council,1
NERC National Ctr for Atmospheric Sci,1
Howard Miller Design Ltd,1
The James Hutton Institute,1
Zoological Soc London Inst of Zoology,1
