category,dfcount
missing,2063
public_commercial_code_repo,1469
institutional,1189
software_specific_website,650
public_noncommercial_archive_repo,499
publisher,270
public_noncommercial_package_repo,187
Non-responsive,158
project or consortium,128
discipline_software_repo,99
documentation_site,98
international_institutional,69
commercial website,66
preprint_site,65
web app,33
personal website,28
commercial appstore,22
institutional_group,19
conference site,17
public openscience repo,14
video,14
"forum, mailinglist, blog",11
discipline-specific (non-software repo),11
software_paper,10
UK Govt Public site,8
Cloud filestore,7
International public govt,6
Data platform,4
non-commercial appstore,3
social media,3
inappropriate,3
patent,2
UK Govt Software Link,2
search site,2
google_doc,1
Non-software website,1
news_blog,1
